filename,label,chi_mean,chi_std,chi_frac_p_lt_0_05,chi_bias,RS_mean,RS_std,SP_equal_ratio,SP_dev_from_0_5,suspicious_score,susp_z
imh009.png,clean,32.0,0.0,1.0,0.5,1.0,0.0,1.0,0.5,0.0,-1.1009589152496226
img058.png,clean,30.724759615384617,4.745803428567164,0.9935897435897436,0.4870793269230769,0.9679653100929251,0.008602524842214233,0.9846,0.48460000000000003,0.0,-1.1009589152496226
img070.png,clean,32.0,0.0,1.0,0.5,1.0,0.0,1.0,0.5,0.0,-1.1009589152496226
img064.png,clean,23.521233974358974,12.301598545008844,0.8461538461538461,0.3987379807692308,0.8973997282811621,0.0409861191124076,0.9418,0.44179999999999997,0.0,-1.1009589152496226
img065.png,clean,32.0,0.0,1.0,0.5,1.0,0.0,1.0,0.5,0.0,-1.1009589152496226
img071.png,clean,32.0,0.0,1.0,0.5,1.0,0.0,1.0,0.5,0.0,-1.1009589152496226
img059.png,clean,32.0,0.0,1.0,0.5,1.0,0.0,1.0,0.5,0.0,-1.1009589152496226
img067.png,clean,29.192307692307693,7.1746524615333795,0.9711538461538461,0.4703525641025641,0.9681620317735101,0.01729393567401175,0.978,0.478,0.0,-1.1009589152496226
img073.png,clean,10.249198717948717,13.581001772092813,0.40384615384615385,0.19791666666666666,0.8036109976884244,0.11348353470031013,0.7792,0.2792,0.0,-1.1009589152496226
img098.png,clean,32.0,0.0,1.0,0.5,1.0,0.0,1.0,0.5,0.0,-1.1009589152496226
img099.png,clean,28.190705128205128,8.480020456266109,0.967948717948718,0.45913461538461536,0.9297482796428589,0.0235138708803072,0.9514,0.4514,0.0,-1.1009589152496226
img072.png,clean,32.0,0.0,1.0,0.5,1.0,0.0,1.0,0.5,0.0,-1.1009589152496226
img066.png,clean,26.470753205128204,10.051783790222228,0.9423076923076923,0.43860176282051283,0.9252171474048847,0.028536348663257858,0.947,0.44699999999999995,0.0,-1.1009589152496226
img062.png,clean,32.0,0.0,1.0,0.5,1.0,0.0,1.0,0.5,0.0,-1.1009589152496226
img076.png,clean,32.0,0.0,1.0,0.5,1.0,0.0,1.0,0.5,0.0,-1.1009589152496226
img089.png,clean,32.0,0.0,1.0,0.5,1.0,0.0,1.0,0.5,0.0,-1.1009589152496226
img088.png,clean,28.002403846153847,9.19299254921841,0.9423076923076923,0.453525641025641,0.9356645710966762,0.026463508362452582,0.956,0.45599999999999996,0.0,-1.1009589152496226
img077.png,clean,30.80849358974359,4.769158812159638,0.9935897435897436,0.4879807692307692,0.9770310476163964,0.006439565682803707,0.9876,0.48760000000000003,0.0,-1.1009589152496226
